公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,work_year,salary,月工资
深圳前海硬之城信息技术有限公司,硬之城,150-500人,A轮,福田区,python数据工程师,4.0,本科,15k-20k,"扁平化管理,年终奖,周末双休,90后团队","['3', '5']","['15', '20']",16.25
深圳小步网络科技有限公司,小步网络,50-150人,B轮,宝安区,Python后台开发工程师,4.0,本科,15k-30k,"待遇优厚,成长空间大,弹性上班,下午茶","['3', '5']","['15', '30']",18.75
深圳市丰巢科技有限公司,深圳市丰巢科技有限公司,500-2000人,A轮,南山区,Python开发高级工程师,2.0,本科,10k-20k,优秀平台,"['1', '3']","['10', '20']",12.5
深圳光启超材料技术有限公司,光启集团,500-2000人,上市公司,南山区,高级Python开发工程师,4.0,本科,15k-30k,"上市公司,核心产品,牛人多,晋升空间大","['3', '5']","['15', '30']",18.75
深圳市天趣网络科技有限公司,云趣网络,50-150人,A轮,南山区,python后台开发工程师,2.0,大专,10k-15k,"弹性时间,五险一金,餐补补贴,节日福利","['1', '3']","['10', '15']",11.25
深圳市投开科技有限公司,投开,50-150人,未融资,南山区,Python量化开发工程师,4.0,本科,10k-15k,"福利好,五险一金,周边地铁,美女多","['3', '5']","['10', '15']",11.25
深圳海链科技有限公司,海链科技,50-150人,A轮,南山区,Python 后台工程师,4.0,本科,15k-26k,"腾讯系,技术导向,福利好","['3', '5']","['15', '26']",17.75
深圳市观麦网络科技有限公司,观麦科技,150-500人,A轮,南山区,python后台开发工程师,0.0,本科,10k-18k,年轻、活力的团队、期权激励,[],"['10', '18']",12.0
平达投资股份有限公司,郑州嘉馨科技有限公司,2000人以上,未融资,南山区,Python后台开发工程师,2.0,本科,25k-50k,"双休加班少,15薪以上,年假福利多,技术氛围好","['1', '3']","['25', '50']",31.25
深圳市深为软件技术有限公司,深为技术,500-2000人,不需要融资,南山区,python讲师（全职/兼职）,7.5,本科,30k-50k,"不加班,薪资开放","['5', '10']","['30', '50']",35.0
深圳市博悦科创科技有限公司,博悦科创,500-2000人,不需要融资,南山区,python后端,4.0,本科,10K-15K,"五险一金,绩效奖金,定期体检,员工旅游","['3', '5']","['10', '15']",11.25
深圳安巽科技有限公司,网络安全服务商,50-150人,不需要融资,福田区,安全开发工程师(Python),0.0,本科,6k-12k,"网络安全,大数据,技术氛围好,发展空间大",[],"['6', '12']",7.5
